Entity,Code,Day,people_fully_vaccinated
Africa,,2021-02-03,5
Africa,,2021-02-04,5
Africa,,2021-02-05,5
Africa,,2021-02-06,1586
Africa,,2021-02-08,3980
Africa,,2021-02-09,6700
Africa,,2021-02-10,10335
Africa,,2021-02-11,13867
Africa,,2021-02-12,13867
Africa,,2021-02-13,14181
Africa,,2021-02-15,16441
Africa,,2021-02-16,18176
Africa,,2021-02-17,19512
Africa,,2021-02-18,22925
Africa,,2021-02-19,32990
Africa,,2021-02-20,45489
Africa,,2021-02-21,50463
Africa,,2021-02-22,68325
Africa,,2021-02-23,86927
Africa,,2021-02-24,102499
Africa,,2021-02-25,119792
Africa,,2021-02-26,183604
Africa,,2021-02-27,252758
Africa,,2021-02-28,255982
Africa,,2021-03-01,330257
Africa,,2021-03-02,394124
Africa,,2021-03-03,468861
Africa,,2021-03-04,529681
Africa,,2021-03-05,624742
Africa,,2021-03-06,705135
Africa,,2021-03-07,705135
Africa,,2021-03-08,779759
Africa,,2021-03-09,850734
Africa,,2021-03-10,1010055
Africa,,2021-03-11,1137129
Africa,,2021-03-12,1397210
Africa,,2021-03-13,1644318
Africa,,2021-03-14,1644318
Africa,,2021-03-15,1942667
Africa,,2021-03-16,2146524
Africa,,2021-03-17,2312736
Africa,,2021-03-18,2321849
Africa,,2021-03-19,2563824
Africa,,2021-03-20,2634856
Africa,,2021-03-21,2634856
Africa,,2021-03-22,2728498
Africa,,2021-03-23,2820695
Africa,,2021-03-24,3089404
Africa,,2021-03-25,3329532
Africa,,2021-03-26,3503504
Africa,,2021-03-27,3606053
Africa,,2021-03-28,3608716
Africa,,2021-03-29,3742925
Africa,,2021-03-30,3870400
Africa,,2021-03-31,3992287
Africa,,2021-04-01,4094775
Africa,,2021-04-02,4171556
Africa,,2021-04-03,4223251
Africa,,2021-04-04,4223527
Africa,,2021-04-05,4283128
Africa,,2021-04-06,4330712
Africa,,2021-04-07,4389609
Africa,,2021-04-08,4433363
Africa,,2021-04-09,4467022
Africa,,2021-04-10,4499372
Albania,ALB,2021-02-02,1
Albania,ALB,2021-02-09,438
Albania,ALB,2021-02-17,611
Albania,ALB,2021-02-18,611
Albania,ALB,2021-02-22,655
Andorra,AND,2021-03-08,1172
Andorra,AND,2021-03-10,1264
Andorra,AND,2021-03-15,1265
Argentina,ARG,2021-01-20,4394
Argentina,ARG,2021-01-21,16352
Argentina,ARG,2021-01-22,25146
Argentina,ARG,2021-01-23,29188
Argentina,ARG,2021-01-24,31987
Argentina,ARG,2021-01-25,32264
Argentina,ARG,2021-01-26,38911
Argentina,ARG,2021-01-27,45710
Argentina,ARG,2021-01-28,51451
Argentina,ARG,2021-01-29,65583
Argentina,ARG,2021-01-30,85361
Argentina,ARG,2021-02-01,94274
Argentina,ARG,2021-02-03,112366
Argentina,ARG,2021-02-04,146301
Argentina,ARG,2021-02-06,163882
Argentina,ARG,2021-02-07,181836
Argentina,ARG,2021-02-08,189264
Argentina,ARG,2021-02-09,190203
Argentina,ARG,2021-02-10,197531
Argentina,ARG,2021-02-11,210279
Argentina,ARG,2021-02-12,223609
Argentina,ARG,2021-02-13,234616
Argentina,ARG,2021-02-14,237483
Argentina,ARG,2021-02-15,237610
Argentina,ARG,2021-02-16,237916
Argentina,ARG,2021-02-17,238320
Argentina,ARG,2021-02-18,243184
Argentina,ARG,2021-02-19,253696
Argentina,ARG,2021-02-20,261534
Argentina,ARG,2021-02-21,263338
Argentina,ARG,2021-02-22,263412
Argentina,ARG,2021-02-23,264926
Argentina,ARG,2021-02-24,267061
Argentina,ARG,2021-02-25,271001
Argentina,ARG,2021-02-26,283280
Argentina,ARG,2021-02-27,290425
Argentina,ARG,2021-02-28,293432
Argentina,ARG,2021-03-01,293957
Argentina,ARG,2021-03-02,302662
Argentina,ARG,2021-03-03,306376
Argentina,ARG,2021-03-04,310766
Argentina,ARG,2021-03-05,327092
Argentina,ARG,2021-03-07,343204
Argentina,ARG,2021-03-08,343701
Argentina,ARG,2021-03-09,347170
Argentina,ARG,2021-03-10,349454
Argentina,ARG,2021-03-11,354519
Argentina,ARG,2021-03-12,378662
Argentina,ARG,2021-03-13,418625
Argentina,ARG,2021-03-14,448733
Argentina,ARG,2021-03-15,451311
Argentina,ARG,2021-03-16,476833
Argentina,ARG,2021-03-17,497987
Argentina,ARG,2021-03-18,515904
Argentina,ARG,2021-03-19,556505
Argentina,ARG,2021-03-20,591438
Argentina,ARG,2021-03-21,605348
Argentina,ARG,2021-03-22,607390
Argentina,ARG,2021-03-23,621981
Argentina,ARG,2021-03-24,634479
Argentina,ARG,2021-03-25,635579
Argentina,ARG,2021-03-26,650071
Argentina,ARG,2021-03-27,661528
Argentina,ARG,2021-03-28,665440
Argentina,ARG,2021-03-29,665886
Argentina,ARG,2021-03-30,670936
Argentina,ARG,2021-03-31,677394
Argentina,ARG,2021-04-01,680590
Argentina,ARG,2021-04-02,682868
Argentina,ARG,2021-04-03,683771
Argentina,ARG,2021-04-04,684339
Argentina,ARG,2021-04-05,684385
Argentina,ARG,2021-04-06,692166
Argentina,ARG,2021-04-07,701085
Argentina,ARG,2021-04-08,707060
Argentina,ARG,2021-04-09,711059
Argentina,ARG,2021-04-10,722520
Asia,,2021-01-04,2
Asia,,2021-01-05,2
Asia,,2021-01-06,2
Asia,,2021-01-07,5
Asia,,2021-01-08,8
Asia,,2021-01-09,30
Asia,,2021-01-10,256016
Asia,,2021-01-11,275241
Asia,,2021-01-12,310870
Asia,,2021-01-13,367669
Asia,,2021-01-14,436391
Asia,,2021-01-15,472257
Asia,,2021-01-16,498216
Asia,,2021-01-17,583289
Asia,,2021-01-18,704758
Asia,,2021-01-19,843502
Asia,,2021-01-20,988329
Asia,,2021-01-21,1152169
Asia,,2021-01-22,1223049
Asia,,2021-01-23,1277626
Asia,,2021-01-24,1419992
Asia,,2021-01-25,1560940
Asia,,2021-01-26,1688532
Asia,,2021-01-27,1814069
Asia,,2021-01-28,1949765
Asia,,2021-01-29,2020169
Asia,,2021-01-30,2072339
Asia,,2021-01-31,2133386
Asia,,2021-02-01,2181439
Asia,,2021-02-02,2234885
Asia,,2021-02-03,2305738
Asia,,2021-02-04,2388549
Asia,,2021-02-05,2441357
Asia,,2021-02-06,2479967
Asia,,2021-02-07,2550390
Asia,,2021-02-08,2647697
Asia,,2021-02-09,2765112
Asia,,2021-02-10,2894814
Asia,,2021-02-11,3032650
Asia,,2021-02-12,3406576
Asia,,2021-02-13,3634816
Asia,,2021-02-14,3745777
Asia,,2021-02-15,4091642
Asia,,2021-02-16,4421408
Asia,,2021-02-17,4782657
Asia,,2021-02-18,5236354
Asia,,2021-02-19,5675931
Asia,,2021-02-20,5984059
Asia,,2021-02-21,6172449
Asia,,2021-02-22,6482602
Asia,,2021-02-23,8838159
Asia,,2021-02-24,9183191
Asia,,2021-02-25,9785078
Asia,,2021-02-26,10328456
Asia,,2021-02-27,10822335
Asia,,2021-02-28,10914164
Asia,,2021-03-01,11401585
Asia,,2021-03-02,11729609
Asia,,2021-03-03,12135069
Asia,,2021-03-04,12683966
Asia,,2021-03-05,13137279
Asia,,2021-03-06,13680580
Asia,,2021-03-07,13803832
Asia,,2021-03-08,14233952
Asia,,2021-03-09,14730020
Asia,,2021-03-10,15293039
Asia,,2021-03-11,15566501
Asia,,2021-03-12,16266889
Asia,,2021-03-13,16853515
Asia,,2021-03-14,17023955
Asia,,2021-03-15,17951539
Asia,,2021-03-16,18924713
Asia,,2021-03-17,19935107
Asia,,2021-03-18,20744471
Asia,,2021-03-19,21780468
Asia,,2021-03-20,22329490
Asia,,2021-03-21,22447443
Asia,,2021-03-22,23313022
Asia,,2021-03-23,24338920
Asia,,2021-03-24,24967969
Asia,,2021-03-25,25595721
Asia,,2021-03-26,26279486
Asia,,2021-03-27,26604388
Asia,,2021-03-28,26775541
Asia,,2021-03-29,27120508
Asia,,2021-03-30,27569419
Asia,,2021-03-31,28433434
Asia,,2021-04-01,29430240
Asia,,2021-04-02,29948206
Asia,,2021-04-03,30495192
Asia,,2021-04-04,30916161
Asia,,2021-04-05,31549556
Asia,,2021-04-06,32601822
Asia,,2021-04-07,33179039
Asia,,2021-04-08,34179312
Asia,,2021-04-09,34855015
Asia,,2021-04-10,35739963
Austria,AUT,2021-01-15,3
Austria,AUT,2021-01-16,12
Austria,AUT,2021-01-17,372
Austria,AUT,2021-01-18,1261
Austria,AUT,2021-01-19,2708
Austria,AUT,2021-01-20,3993
Austria,AUT,2021-01-21,4157
Austria,AUT,2021-01-22,4739
Austria,AUT,2021-01-23,4741
Austria,AUT,2021-01-24,4743
Austria,AUT,2021-01-25,4850
Austria,AUT,2021-01-26,5739
Austria,AUT,2021-01-27,6258
Austria,AUT,2021-01-28,8883
Austria,AUT,2021-01-29,18493
Austria,AUT,2021-01-30,20830
Austria,AUT,2021-01-31,21827
Austria,AUT,2021-02-01,24873
Austria,AUT,2021-02-02,38801
Austria,AUT,2021-02-03,53311
Austria,AUT,2021-02-04,70381
Austria,AUT,2021-02-05,87114
Austria,AUT,2021-02-06,93330
Austria,AUT,2021-02-07,97716
Austria,AUT,2021-02-08,105265
Austria,AUT,2021-02-09,121526
Austria,AUT,2021-02-10,139585
Austria,AUT,2021-02-11,158506
Austria,AUT,2021-02-12,176639
Austria,AUT,2021-02-13,181706
Austria,AUT,2021-02-14,183263
Austria,AUT,2021-02-15,186449
Austria,AUT,2021-02-16,193902
Austria,AUT,2021-02-17,203446
Austria,AUT,2021-02-18,211378
Austria,AUT,2021-02-19,219768
Austria,AUT,2021-02-20,221465
Austria,AUT,2021-02-21,221818
Austria,AUT,2021-02-22,223633
Austria,AUT,2021-02-23,228058
Austria,AUT,2021-02-24,231473
Austria,AUT,2021-02-25,234992
Austria,AUT,2021-02-26,239666
Austria,AUT,2021-02-27,241613
Austria,AUT,2021-02-28,242055
Austria,AUT,2021-03-01,242900
Austria,AUT,2021-03-02,245207
Austria,AUT,2021-03-03,247537
Austria,AUT,2021-03-04,250278
Austria,AUT,2021-03-05,253182
Austria,AUT,2021-03-06,255655
Austria,AUT,2021-03-07,256292
Austria,AUT,2021-03-08,257658
Austria,AUT,2021-03-09,261107
Austria,AUT,2021-03-10,265578
Austria,AUT,2021-03-11,270963
Austria,AUT,2021-03-12,276268
Austria,AUT,2021-03-13,281977
Austria,AUT,2021-03-14,286146
Austria,AUT,2021-03-15,288405
Austria,AUT,2021-03-16,294636
Austria,AUT,2021-03-17,302578
Austria,AUT,2021-03-18,310543
Austria,AUT,2021-03-19,318908
Austria,AUT,2021-03-20,328348
Austria,AUT,2021-03-21,332154
Austria,AUT,2021-03-22,334625
Austria,AUT,2021-03-23,350566
Austria,AUT,2021-03-24,367995
Austria,AUT,2021-03-25,383955
Austria,AUT,2021-03-26,402022
Austria,AUT,2021-03-27,416496
Austria,AUT,2021-03-28,421064
Austria,AUT,2021-03-29,426479
Austria,AUT,2021-03-30,437970
Austria,AUT,2021-03-31,450598
Austria,AUT,2021-04-01,468648
Austria,AUT,2021-04-02,487216
Austria,AUT,2021-04-03,495722
Austria,AUT,2021-04-04,497472
Austria,AUT,2021-04-05,502197
Austria,AUT,2021-04-06,513820
Austria,AUT,2021-04-07,528771
Austria,AUT,2021-04-08,552165
Austria,AUT,2021-04-09,582768
Austria,AUT,2021-04-10,609837
Azerbaijan,AZE,2021-04-01,297878
Azerbaijan,AZE,2021-04-02,319039
Azerbaijan,AZE,2021-04-03,342350
Azerbaijan,AZE,2021-04-04,356831
Azerbaijan,AZE,2021-04-05,356935
Azerbaijan,AZE,2021-04-06,370820
Azerbaijan,AZE,2021-04-07,386327
Azerbaijan,AZE,2021-04-08,396985
Azerbaijan,AZE,2021-04-09,405289
Azerbaijan,AZE,2021-04-10,414230
Bahrain,BHR,2021-03-06,199374
Bahrain,BHR,2021-03-07,201442
Bahrain,BHR,2021-03-08,202679
Bahrain,BHR,2021-03-09,203915
Bahrain,BHR,2021-03-10,206072
Bahrain,BHR,2021-03-11,208325
Bahrain,BHR,2021-03-12,210225
Bahrain,BHR,2021-03-13,212117
Bahrain,BHR,2021-03-14,214181
Bahrain,BHR,2021-03-15,216826
Bahrain,BHR,2021-03-16,219298
Bahrain,BHR,2021-03-17,222573
Bahrain,BHR,2021-03-18,227520
Bahrain,BHR,2021-03-19,230395
Bahrain,BHR,2021-03-20,232782
Bahrain,BHR,2021-03-21,235872
Bahrain,BHR,2021-03-22,238915
Bahrain,BHR,2021-03-23,240648
Bahrain,BHR,2021-03-24,242128
Bahrain,BHR,2021-03-25,243940
Bahrain,BHR,2021-03-26,245481
Bahrain,BHR,2021-03-27,245907
Bahrain,BHR,2021-03-28,248077
Bahrain,BHR,2021-03-29,250516
Bahrain,BHR,2021-03-30,253008
Bahrain,BHR,2021-03-31,255440
Bahrain,BHR,2021-04-01,257593
Bahrain,BHR,2021-04-02,259575
Bahrain,BHR,2021-04-03,270585
Bahrain,BHR,2021-04-04,286964
Bahrain,BHR,2021-04-05,302432
Bahrain,BHR,2021-04-06,316370
Bahrain,BHR,2021-04-07,333285
Bahrain,BHR,2021-04-08,348791
Bahrain,BHR,2021-04-09,361924
Bahrain,BHR,2021-04-10,376815
Belarus,BLR,2021-03-12,10000
Belarus,BLR,2021-03-26,26100
Belgium,BEL,2021-01-18,109
Belgium,BEL,2021-01-19,290
Belgium,BEL,2021-01-20,713
Belgium,BEL,2021-01-21,713
Belgium,BEL,2021-01-22,745
Belgium,BEL,2021-01-23,752
Belgium,BEL,2021-01-24,752
Belgium,BEL,2021-01-25,752
Belgium,BEL,2021-01-26,2401
Belgium,BEL,2021-01-27,5804
Belgium,BEL,2021-01-28,13228
Belgium,BEL,2021-01-29,22075
Belgium,BEL,2021-01-30,24949
Belgium,BEL,2021-01-31,25277
Belgium,BEL,2021-02-01,29032
Belgium,BEL,2021-02-02,42732
Belgium,BEL,2021-02-03,63249
Belgium,BEL,2021-02-04,87084
Belgium,BEL,2021-02-05,109633
Belgium,BEL,2021-02-06,114847
Belgium,BEL,2021-02-07,117905
Belgium,BEL,2021-02-08,125637
Belgium,BEL,2021-02-09,145078
Belgium,BEL,2021-02-10,163693
Belgium,BEL,2021-02-11,191724
Belgium,BEL,2021-02-12,219191
Belgium,BEL,2021-02-13,227166
Belgium,BEL,2021-02-14,229010
Belgium,BEL,2021-02-15,240564
Belgium,BEL,2021-02-16,250973
Belgium,BEL,2021-02-17,263508
Belgium,BEL,2021-02-18,280279
Belgium,BEL,2021-02-19,293140
Belgium,BEL,2021-02-20,294712
Belgium,BEL,2021-02-21,294974
Belgium,BEL,2021-02-22,297784
Belgium,BEL,2021-02-23,305402
Belgium,BEL,2021-02-24,313480
Belgium,BEL,2021-02-25,322238
Belgium,BEL,2021-02-26,328879
Belgium,BEL,2021-02-27,329627
Belgium,BEL,2021-02-28,329849
Belgium,BEL,2021-03-01,332536
Belgium,BEL,2021-03-02,339284
Belgium,BEL,2021-03-03,345247
Belgium,BEL,2021-03-04,353510
Belgium,BEL,2021-03-05,359574
Belgium,BEL,2021-03-06,360262
Belgium,BEL,2021-03-07,360439
Belgium,BEL,2021-03-08,362400
Belgium,BEL,2021-03-09,369386
Belgium,BEL,2021-03-10,378372
Belgium,BEL,2021-03-11,388162
Belgium,BEL,2021-03-12,401092
Belgium,BEL,2021-03-13,403140
Belgium,BEL,2021-03-14,404408
Belgium,BEL,2021-03-15,408948
Belgium,BEL,2021-03-16,413026
Belgium,BEL,2021-03-17,421053
Belgium,BEL,2021-03-18,437531
Belgium,BEL,2021-03-19,456001
Belgium,BEL,2021-03-20,457274
Belgium,BEL,2021-03-21,457785
Belgium,BEL,2021-03-22,462877
Belgium,BEL,2021-03-23,468376
Belgium,BEL,2021-03-24,478642
Belgium,BEL,2021-03-25,497524
Belgium,BEL,2021-03-26,515840
Belgium,BEL,2021-03-27,519530
Belgium,BEL,2021-03-28,520475
Belgium,BEL,2021-03-29,525472
Belgium,BEL,2021-03-30,530987
Belgium,BEL,2021-03-31,541092
Belgium,BEL,2021-04-01,564132
Belgium,BEL,2021-04-02,580057
Belgium,BEL,2021-04-03,581305
Belgium,BEL,2021-04-04,581369
Belgium,BEL,2021-04-05,583419
Belgium,BEL,2021-04-06,591218
Belgium,BEL,2021-04-07,599104
Belgium,BEL,2021-04-08,610013
Belgium,BEL,2021-04-09,618420
Belgium,BEL,2021-04-10,620032
Bermuda,BMU,2021-02-06,1591
Bermuda,BMU,2021-02-09,1600
Bermuda,BMU,2021-02-22,4769
Bermuda,BMU,2021-02-27,7046
Bermuda,BMU,2021-03-03,8645
Bermuda,BMU,2021-03-10,10332
Bermuda,BMU,2021-03-15,11674
Bermuda,BMU,2021-03-22,13155
Bermuda,BMU,2021-03-27,15371
Bermuda,BMU,2021-04-04,17361
Bolivia,BOL,2021-03-02,9162
Bolivia,BOL,2021-03-03,9540
Bolivia,BOL,2021-03-04,9700
Bolivia,BOL,2021-03-05,9785
Bolivia,BOL,2021-03-06,9785
Bolivia,BOL,2021-03-07,9785
Bolivia,BOL,2021-03-08,9830
Bolivia,BOL,2021-03-09,9870
Bolivia,BOL,2021-03-10,9878
Bolivia,BOL,2021-03-11,9938
Bolivia,BOL,2021-03-12,9951
Bolivia,BOL,2021-03-13,9951
Bolivia,BOL,2021-03-14,9951
Bolivia,BOL,2021-03-15,9996
Bolivia,BOL,2021-03-16,10007
Bolivia,BOL,2021-03-17,10061
Bolivia,BOL,2021-03-18,11129
Bolivia,BOL,2021-03-19,16939
Bolivia,BOL,2021-03-20,18572
Bolivia,BOL,2021-03-21,19502
Bolivia,BOL,2021-03-22,28235
Bolivia,BOL,2021-03-23,42142
Bolivia,BOL,2021-03-24,57297
Bolivia,BOL,2021-03-25,71441
Bolivia,BOL,2021-03-26,85907
Bolivia,BOL,2021-03-27,88315
Bolivia,BOL,2021-03-28,88718
Bolivia,BOL,2021-03-29,95326
Bolivia,BOL,2021-03-30,102366
Bolivia,BOL,2021-03-31,109305
Bolivia,BOL,2021-04-01,115012
Bolivia,BOL,2021-04-02,115968
Bolivia,BOL,2021-04-03,116692
Bolivia,BOL,2021-04-04,117078
Bolivia,BOL,2021-04-05,123707
Bolivia,BOL,2021-04-06,128368
Bolivia,BOL,2021-04-07,132692
Bolivia,BOL,2021-04-08,137072
Bolivia,BOL,2021-04-09,141041
Brazil,BRA,2021-02-06,1962
Brazil,BRA,2021-02-07,19677
Brazil,BRA,2021-02-08,25688
Brazil,BRA,2021-02-09,33616
Brazil,BRA,2021-02-10,50655
Brazil,BRA,2021-02-11,80760
Brazil,BRA,2021-02-12,109866
Brazil,BRA,2021-02-13,178468
Brazil,BRA,2021-02-14,194230
Brazil,BRA,2021-02-15,217869
Brazil,BRA,2021-02-16,285620
Brazil,BRA,2021-02-17,557532
Brazil,BRA,2021-02-18,723755
Brazil,BRA,2021-02-19,894673
Brazil,BRA,2021-02-20,1056807
Brazil,BRA,2021-02-21,1132894
Brazil,BRA,2021-02-22,1171276
Brazil,BRA,2021-02-23,1294188
Brazil,BRA,2021-02-24,1435594
Brazil,BRA,2021-02-25,1596945
Brazil,BRA,2021-02-26,1755018
Brazil,BRA,2021-02-27,1884206
Brazil,BRA,2021-02-28,1914940
Brazil,BRA,2021-03-01,1923197
Brazil,BRA,2021-03-02,2034734
Brazil,BRA,2021-03-03,2163103
Brazil,BRA,2021-03-04,2321824
Brazil,BRA,2021-03-05,2468014
Brazil,BRA,2021-03-10,2510956
Brazil,BRA,2021-03-11,2648615
